Title,Body (HTML),Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Compare At Price,Variant Price,Image Src,Variant Image,Variant Inventory Qty,Style ID (product.metafields.custom.style_id),Color (product.metafields.custom.color),Style (product.metafields.custom.style),Material (product.metafields.custom.material),Construction (product.metafields.custom.construction),Shape (product.metafields.custom.shape),Thickness (product.metafields.custom.thickness),Fringe (product.metafields.custom.fringe),Location (product.metafields.custom.location),Made In (product.metafields.custom.made_in),Custom Sizes (product.metafields.custom.custom_sizes),Sample Size (product.metafields.custom.sample_size),Rug Pad (product.metafields.custom.rug_pad)
New Wave - NW-22 Area Rug,"<div class=""product-overview-data"">
<p><p>The Momeni New Wave - NW-22 Area Rug is a piece of floor art that will instantly elevate the appearance of any modern living space. Inspired by popular works of twentieth-century art, this dynamic design element will create an eye-catching focal point when added to your existing décor.</p><ul><li>The bold pattern pairs angular shapes with contrasting colors to create a piece of décor that is both abstract and artistic. </li><li>To create an unforgettably luxurious experience, pure wool fibers have hand-tufted to increase softness. </li><li>Using a canister vacuum once a week is recommended. Avoid the use of the vacuum's beater brush when caring for this piece. </li><li>Made in India. </li></ul></p>
</div>",Momeni,Color,Pomegranate,Size,"2'6"" x 8' Rectangular runner",499.00,349.00,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/9705/72158/114115/ws_newwanw-22pom_side.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/9705/72158/114115/ws_newwanw-22pom_main.jpg",1.0,NW-22,Pomegranate,Contemporary / Modern,100% Wool,Hand-Tufted,Also in shapes other than rectangle,"4⁄9"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended
New Wave - NW-22 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/9705/72158/114115/ws_newwanw-22pom_main.jpg",,,,,,,,,,,,,,,
New Wave - NW-22 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/9705/72158/114115/ws_newwanw-22pom_1.jpg",,,,,,,,,,,,,,,
New Wave - NW-22 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/9705/72158/114115/ws_newwanw-22pom_front.jpg",,,,,,,,,,,,,,,
New Wave - NW-22 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/9705/72158/114115/ws_newwanw-22pom_3.jpg",,,,,,,,,,,,,,,
New Wave - NW-22 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/9705/72158/114115/ws_newwanw-22pom_2.jpg",,,,,,,,,,,,,,,
New Wave - NW-22 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/9705/72158/114115/ws_newwanw-22pom_swatch.jpg",,,,,,,,,,,,,,,
New Wave - NW-22 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/9705/72158/114115/ws_newwanw-22pom_4.jpg",,,,,,,,,,,,,,,
New Wave - NW-22 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/9705/72158/114115/ws_newwanw-22pom_5.jpg",,,,,,,,,,,,,,,
New Wave - NW-22 Area Rug,"<div class=""product-overview-data"">
<p><p>The Momeni New Wave - NW-22 Area Rug is a piece of floor art that will instantly elevate the appearance of any modern living space. Inspired by popular works of twentieth-century art, this dynamic design element will create an eye-catching focal point when added to your existing décor.</p><ul><li>The bold pattern pairs angular shapes with contrasting colors to create a piece of décor that is both abstract and artistic. </li><li>To create an unforgettably luxurious experience, pure wool fibers have hand-tufted to increase softness. </li><li>Using a canister vacuum once a week is recommended. Avoid the use of the vacuum's beater brush when caring for this piece. </li><li>Made in India. </li></ul></p>
</div>",Momeni,Color,Pomegranate,Size,"3'6"" x 5'6"" Rectangular",559.00,389.00,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/9705/72158/114115/ws_newwanw-22pom_5.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/9705/72158/114115/ws_newwanw-22pom_main.jpg",1.0,NW-22,Pomegranate,Contemporary / Modern,100% Wool,Hand-Tufted,Also in shapes other than rectangle,"4⁄9"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended
