Title,Body (HTML),Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Compare At Price,Variant Price,Image Src,Variant Image,Variant Inventory Qty,Style ID (product.metafields.custom.style_id),Color (product.metafields.custom.color),Style (product.metafields.custom.style),Material (product.metafields.custom.material),Construction (product.metafields.custom.construction),Thickness (product.metafields.custom.thickness),Fringe (product.metafields.custom.fringe),Location (product.metafields.custom.location),Designer (product.metafields.custom.designer),Made In (product.metafields.custom.made_in),Custom Sizes (product.metafields.custom.custom_sizes),Sample Size (product.metafields.custom.sample_size),Rug Pad (product.metafields.custom.rug_pad),Shape (product.metafields.custom.shape)
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Grey,Size,"2'3"" x 8' Rectangular runner",183.00,146.00,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899_06.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899.jpg",1.0,LNR-01,Grey,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended,
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899.jpg",,,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899_05.jpg",,,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899_01.jpg",,,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899_02.jpg",,,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899_03.jpg",,,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879875.jpg",,,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879929.jpg",,,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Grey,Size,"3'9"" x 5'9"" Rectangular",211.00,169.00,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879929.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899.jpg",1.0,LNR-01,Grey,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended,
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Grey,Size,"5'3"" x 7'3"" Rectangular",380.00,304.00,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879929.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899.jpg",1.0,LNR-01,Grey,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended,
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Grey,Size,"7'9"" x 9'9"" Rectangular",745.00,596.00,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879929.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899.jpg",1.0,LNR-01,Grey,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended,
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Grey,Size,"8'6"" x 11'6"" Rectangular",956.00,765.00,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879929.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899.jpg",1.0,LNR-01,Grey,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended,
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Grey,Size,"9'9"" x 13'9"" Rectangular","1,323.00","1,058.00","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879929.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899.jpg",1.0,LNR-01,Grey,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended,
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Light Blue,Size,"2'3"" x 8' Rectangular runner",183.00,146.00,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446880017_04.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879974.jpg",1.0,LNR-01,Light Blue,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended,
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879974.jpg",,,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879950_04.jpg",,,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879974_06.jpg",,,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879974_05.jpg",,,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879974_01.jpg",,,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879974_02.jpg",,,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879974_03.jpg",,,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879950.jpg",,,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Light Blue,Size,"3'9"" x 5'9"" Rectangular",211.00,169.00,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879950.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879974.jpg",1.0,LNR-01,Light Blue,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended,
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Light Blue,Size,"5'3"" x 7'3"" Rectangular",380.00,304.00,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879950.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879974.jpg",1.0,LNR-01,Light Blue,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended,
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Light Blue,Size,"7'9"" x 9'9"" Rectangular",745.00,596.00,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879950.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879974.jpg",1.0,LNR-01,Light Blue,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended,
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Light Blue,Size,"8'6"" x 11'6"" Rectangular",956.00,765.00,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879950.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879974.jpg",1.0,LNR-01,Light Blue,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended,
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Light Blue,Size,"9'9"" x 13'9"" Rectangular","1,323.00","1,058.00","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879950.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879974.jpg",1.0,LNR-01,Light Blue,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended,
