Title,Body (HTML),Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Compare At Price,Variant Price,Image Src,Variant Image,Variant Inventory Qty,Style ID (product.metafields.custom.style_id),Color (product.metafields.custom.color),Style (product.metafields.custom.style),Material (product.metafields.custom.material),Construction (product.metafields.custom.construction),Shape (product.metafields.custom.shape),Thickness (product.metafields.custom.thickness),Fringe (product.metafields.custom.fringe),Location (product.metafields.custom.location),Made In (product.metafields.custom.made_in),Custom Sizes (product.metafields.custom.custom_sizes),Sample Size (product.metafields.custom.sample_size),Rug Pad (product.metafields.custom.rug_pad)
Cape Cod - CAP415 Area Rug,"<div class=""product-overview-data"">
<p><p>Traditional meets bohemian in the form of our Safavieh Cape Cod CAP415 area rug. The fact that it is able to add style inside or on your covered patio makes it that much better.</p><ul><li>Softness and texture are givens since this rug is hand-woven with sustainable jute and cotton fabrics in a thick pile. </li><li>Featuring a subtle trellis pattern with a distressed appearance in gray and gold tones, this collection harmonizes with styles from traditional to eclectic. </li><li>Jute and cotton yarns are blended and woven by hand for a natural feel your feet will love. </li><li>Remove dirt and debris by vacuuming the top and underside regularly. </li><li>Made in India.</li></ul></p>
</div>",Safavieh,Color,"Grey, Gold ",Size,"2'3"" x 10' Rectangular runner",176.00,116.85,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00016/14706/138696/222589/ws_cap415a-5-room.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00069/14706/138696/222589/ws_cap415a-5.jpg",1.0,CAP415,"Grey, Gold (A)",Natural Fiber,"80% Jute, 20% Cotton",Handwoven,Also in shapes other than rectangle,"5⁄8"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended
Cape Cod - CAP415 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00069/14706/138696/222589/ws_cap415a-5.jpg",,,,,,,,,,,,,,,
Cape Cod - CAP415 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00016/14706/138696/222589/ws_cap415a-6r-room.jpg",,,,,,,,,,,,,,,
Cape Cod - CAP415 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00069/14706/138696/222589/ws_cap415a-28-room.jpg",,,,,,,,,,,,,,,
Cape Cod - CAP415 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00016/14706/138696/222589/ws_cap415a-5-back.jpg",,,,,,,,,,,,,,,
Cape Cod - CAP415 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00016/14706/138696/222589/ws_cap415a-5-detail.jpg",,,,,,,,,,,,,,,
Cape Cod - CAP415 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00016/14706/138696/222589/ws_cap415a-6r-detail.jpg",,,,,,,,,,,,,,,
Cape Cod - CAP415 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00016/14706/138696/222589/ws_cap415a-6r.jpg",,,,,,,,,,,,,,,
Cape Cod - CAP415 Area Rug,"<div class=""product-overview-data"">
<p><p>Traditional meets bohemian in the form of our Safavieh Cape Cod CAP415 area rug. The fact that it is able to add style inside or on your covered patio makes it that much better.</p><ul><li>Softness and texture are givens since this rug is hand-woven with sustainable jute and cotton fabrics in a thick pile. </li><li>Featuring a subtle trellis pattern with a distressed appearance in gray and gold tones, this collection harmonizes with styles from traditional to eclectic. </li><li>Jute and cotton yarns are blended and woven by hand for a natural feel your feet will love. </li><li>Remove dirt and debris by vacuuming the top and underside regularly. </li><li>Made in India.</li></ul></p>
</div>",Safavieh,Color,"Grey, Gold ",Size,"2'3"" x 12' Rectangular runner",204.00,135.85,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00016/14706/138696/222589/ws_cap415a-6r.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00069/14706/138696/222589/ws_cap415a-5.jpg",1.0,CAP415,"Grey, Gold (A)",Natural Fiber,"80% Jute, 20% Cotton",Handwoven,Also in shapes other than rectangle,"5⁄8"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended
Cape Cod - CAP415 Area Rug,"<div class=""product-overview-data"">
<p><p>Traditional meets bohemian in the form of our Safavieh Cape Cod CAP415 area rug. The fact that it is able to add style inside or on your covered patio makes it that much better.</p><ul><li>Softness and texture are givens since this rug is hand-woven with sustainable jute and cotton fabrics in a thick pile. </li><li>Featuring a subtle trellis pattern with a distressed appearance in gray and gold tones, this collection harmonizes with styles from traditional to eclectic. </li><li>Jute and cotton yarns are blended and woven by hand for a natural feel your feet will love. </li><li>Remove dirt and debris by vacuuming the top and underside regularly. </li><li>Made in India.</li></ul></p>
</div>",Safavieh,Color,"Grey, Gold ",Size,3' x 5' Rectangular,124.00,82.65,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00016/14706/138696/222589/ws_cap415a-6r.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00069/14706/138696/222589/ws_cap415a-5.jpg",1.0,CAP415,"Grey, Gold (A)",Natural Fiber,"80% Jute, 20% Cotton",Handwoven,Also in shapes other than rectangle,"5⁄8"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended
Cape Cod - CAP415 Area Rug,"<div class=""product-overview-data"">
<p><p>Traditional meets bohemian in the form of our Safavieh Cape Cod CAP415 area rug. The fact that it is able to add style inside or on your covered patio makes it that much better.</p><ul><li>Softness and texture are givens since this rug is hand-woven with sustainable jute and cotton fabrics in a thick pile. </li><li>Featuring a subtle trellis pattern with a distressed appearance in gray and gold tones, this collection harmonizes with styles from traditional to eclectic. </li><li>Jute and cotton yarns are blended and woven by hand for a natural feel your feet will love. </li><li>Remove dirt and debris by vacuuming the top and underside regularly. </li><li>Made in India.</li></ul></p>
</div>",Safavieh,Color,"Grey, Gold ",Size,4' x 6' Rectangular,181.00,120.65,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00016/14706/138696/222589/ws_cap415a-6r.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00069/14706/138696/222589/ws_cap415a-5.jpg",1.0,CAP415,"Grey, Gold (A)",Natural Fiber,"80% Jute, 20% Cotton",Handwoven,Also in shapes other than rectangle,"5⁄8"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended
Cape Cod - CAP415 Area Rug,"<div class=""product-overview-data"">
<p><p>Traditional meets bohemian in the form of our Safavieh Cape Cod CAP415 area rug. The fact that it is able to add style inside or on your covered patio makes it that much better.</p><ul><li>Softness and texture are givens since this rug is hand-woven with sustainable jute and cotton fabrics in a thick pile. </li><li>Featuring a subtle trellis pattern with a distressed appearance in gray and gold tones, this collection harmonizes with styles from traditional to eclectic. </li><li>Jute and cotton yarns are blended and woven by hand for a natural feel your feet will love. </li><li>Remove dirt and debris by vacuuming the top and underside regularly. </li><li>Made in India.</li></ul></p>
</div>",Safavieh,Color,"Grey, Gold ",Size,5' x 8' Rectangular,291.00,192.85,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00016/14706/138696/222589/ws_cap415a-6r.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00069/14706/138696/222589/ws_cap415a-5.jpg",1.0,CAP415,"Grey, Gold (A)",Natural Fiber,"80% Jute, 20% Cotton",Handwoven,Also in shapes other than rectangle,"5⁄8"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended
Cape Cod - CAP415 Area Rug,"<div class=""product-overview-data"">
<p><p>Traditional meets bohemian in the form of our Safavieh Cape Cod CAP415 area rug. The fact that it is able to add style inside or on your covered patio makes it that much better.</p><ul><li>Softness and texture are givens since this rug is hand-woven with sustainable jute and cotton fabrics in a thick pile. </li><li>Featuring a subtle trellis pattern with a distressed appearance in gray and gold tones, this collection harmonizes with styles from traditional to eclectic. </li><li>Jute and cotton yarns are blended and woven by hand for a natural feel your feet will love. </li><li>Remove dirt and debris by vacuuming the top and underside regularly. </li><li>Made in India.</li></ul></p>
</div>",Safavieh,Color,"Grey, Gold ",Size,6' x 6' Round,265.00,175.75,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00016/14706/138696/222589/ws_cap415a-6r.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00069/14706/138696/222589/ws_cap415a-5.jpg",1.0,CAP415,"Grey, Gold (A)",Natural Fiber,"80% Jute, 20% Cotton",Handwoven,Also in shapes other than rectangle,"5⁄8"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended
Cape Cod - CAP415 Area Rug,"<div class=""product-overview-data"">
<p><p>Traditional meets bohemian in the form of our Safavieh Cape Cod CAP415 area rug. The fact that it is able to add style inside or on your covered patio makes it that much better.</p><ul><li>Softness and texture are givens since this rug is hand-woven with sustainable jute and cotton fabrics in a thick pile. </li><li>Featuring a subtle trellis pattern with a distressed appearance in gray and gold tones, this collection harmonizes with styles from traditional to eclectic. </li><li>Jute and cotton yarns are blended and woven by hand for a natural feel your feet will love. </li><li>Remove dirt and debris by vacuuming the top and underside regularly. </li><li>Made in India.</li></ul></p>
</div>",Safavieh,Color,"Grey, Gold ",Size,6' x 6' Square,265.00,175.75,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00016/14706/138696/222589/ws_cap415a-6r.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00069/14706/138696/222589/ws_cap415a-5.jpg",1.0,CAP415,"Grey, Gold (A)",Natural Fiber,"80% Jute, 20% Cotton",Handwoven,Also in shapes other than rectangle,"5⁄8"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended
Cape Cod - CAP415 Area Rug,"<div class=""product-overview-data"">
<p><p>Traditional meets bohemian in the form of our Safavieh Cape Cod CAP415 area rug. The fact that it is able to add style inside or on your covered patio makes it that much better.</p><ul><li>Softness and texture are givens since this rug is hand-woven with sustainable jute and cotton fabrics in a thick pile. </li><li>Featuring a subtle trellis pattern with a distressed appearance in gray and gold tones, this collection harmonizes with styles from traditional to eclectic. </li><li>Jute and cotton yarns are blended and woven by hand for a natural feel your feet will love. </li><li>Remove dirt and debris by vacuuming the top and underside regularly. </li><li>Made in India.</li></ul></p>
</div>",Safavieh,Color,"Grey, Gold ",Size,8' x 10' Rectangular,556.00,369.55,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00016/14706/138696/222589/ws_cap415a-6r.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00069/14706/138696/222589/ws_cap415a-5.jpg",1.0,CAP415,"Grey, Gold (A)",Natural Fiber,"80% Jute, 20% Cotton",Handwoven,Also in shapes other than rectangle,"5⁄8"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended
