Title,Body (HTML),Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Compare At Price,Variant Price,Image Src,Variant Image,Variant Inventory Qty,Style ID (product.metafields.custom.style_id),Color (product.metafields.custom.color),Style (product.metafields.custom.style),Material (product.metafields.custom.material),Construction (product.metafields.custom.construction),Shape (product.metafields.custom.shape),Thickness (product.metafields.custom.thickness),Fringe (product.metafields.custom.fringe),Location (product.metafields.custom.location),Made In (product.metafields.custom.made_in),Custom Sizes (product.metafields.custom.custom_sizes),Sample Size (product.metafields.custom.sample_size),Rug Pad (product.metafields.custom.rug_pad),Designer (product.metafields.custom.designer)
Polaris - Cicero Area Rug,"<div class=""product-overview-data"">
<p><p>Capture the beauty of an antique Turkish rug with this indoor/outdoor Cicero rug from the Polaris collection by Jaipur Living. Polaris combines timeless designs with durable, lightweight construction for modern indoor and outdoor spaces.</p><ul><li>The Cicero rug features a bold tribal medallion design with several beautiful color options, perfect for decorating any indoor or outdoor area.</li><li> This understated indoor/outdoor area rug is produced in Turkey with a 1/6"" polypropylene pile made to be both kid and pet-friendly.</li><li> We recommend keeping your Cicero area rug on a rug pad suited to the environment, protecting the pile and backing from early wear patterns.</li><li> Remove stains with mild soap and rinse with a hose before hanging to dry – for indoor care, vacuum the Cicero rug regularly with the beater bar disengaged.</li></ul></p>
</div>",Jaipur Living,Color,"Orange, Black, Blue ",Size,2' x 3' Rectangular,60.00,29.4,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/17595/143712/231207/ws_pol40_rug149088_ls1_sq_10142021.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00083/17595/143712/231207/ws_pol40.jpg",1.0,Cicero,"Orange, Black, Blue (POL-40)",Vintage / Overdyed,100% Polypropylene,Machine-Made,Also in shapes other than rectangle,"1⁄6"" (approx.)",No decorative fringe,Outdoor/Indoor,Turkey,Not available,Not available,Recommended,
Polaris - Cicero Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00083/17595/143712/231207/ws_pol40.jpg",,,,,,,,,,,,,,,,
Polaris - Cicero Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/17595/143712/231207/ws_pol40_rug149091_rct_l_10142021.jpg",,,,,,,,,,,,,,,,
Polaris - Cicero Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/17595/143712/231207/ws_pol40_rug1149091_rnr_l_sq.jpg",,,,,,,,,,,,,,,,
Polaris - Cicero Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/17595/143712/231207/ws_pol40_4.jpg",,,,,,,,,,,,,,,,
Polaris - Cicero Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/17595/143712/231207/ws_pol40_rug149088_ls2_sq_10142021.jpg",,,,,,,,,,,,,,,,
Polaris - Cicero Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/17595/143712/231207/ws_pol40_5.jpg",,,,,,,,,,,,,,,,
Polaris - Cicero Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00083/17595/143712/231207/ws_pol40_1.jpg",,,,,,,,,,,,,,,,
Polaris - Cicero Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00083/17595/143712/231207/ws_pol40_2.jpg",,,,,,,,,,,,,,,,
Polaris - Cicero Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00083/17595/143712/231207/ws_pol40_rsw103473_swatch.jpg",,,,,,,,,,,,,,,,
